1500|1500
keen4_background_pyramid_brown2|0|0|1500|1500|keen4_background_pyramid_brown2.png|False|0
keen4_pyramid_wall_bottom1|22|1469|64|32|10
keen4_pyramid_wall_bottom1|54|1437|64|32|10
keen4_pyramid_wall_bottom1|86|1405|64|32|10
keen4_pyramid_wall_bottom1|118|1373|64|32|10
keen4_pyramid_wall_bottom1|150|1341|64|32|10
keen4_pyramid_wall_bottom1|182|1309|64|32|10
keen4_pyramid_wall_bottom1|214|1277|64|32|10
keen4_pyramid_wall_bottom1|246|1245|64|32|10
keen4_pyramid_wall_bottom1|278|1213|64|32|10
keen4_pyramid_wall_bottom1|310|1181|64|32|10
keen4_pyramid_wall_bottom1|1405|1469|64|32|10
keen4_pyramid_wall_bottom1|1373|1437|64|32|10
keen4_pyramid_wall_bottom1|1341|1405|64|32|10
keen4_pyramid_wall_bottom1|1309|1373|64|32|10
keen4_pyramid_wall_bottom1|1277|1341|64|32|10
keen4_pyramid_wall_bottom1|1245|1309|64|32|10
keen4_pyramid_wall_bottom1|1213|1277|64|32|10
keen4_pyramid_wall_bottom1|1181|1245|64|32|10
keen4_pyramid_wall_bottom1|1149|1213|64|32|10
keen4_pyramid_wall_bottom1|1117|1181|64|32|10
keen4_removable_platform_right_edge_filled_pyramid|1079|1181|38|64|10|KEEN4_PYRAMID|True|c67c1c8c-058c-4a37-b452-c234c58037e5
keen_stand_right|694|1117|26|64|RIGHT
edge_of_map_tile_debug|0|128|32|32|25|BARRIER
edge_of_map_tile_debug|0|160|32|32|25|BARRIER
edge_of_map_tile_debug|0|192|32|32|25|BARRIER
edge_of_map_tile_debug|0|224|32|32|25|BARRIER
edge_of_map_tile_debug|0|256|32|32|25|BARRIER
edge_of_map_tile_debug|0|286|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1469|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1437|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1405|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1373|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1341|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1309|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1277|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1245|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1213|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1181|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1149|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1117|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1085|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1053|32|32|25|BARRIER
edge_of_map_tile_debug|1469|1021|32|32|25|BARRIER
edge_of_map_tile_debug|1469|989|32|32|25|BARRIER
edge_of_map_tile_debug|1469|957|32|32|25|BARRIER
edge_of_map_tile_debug|1469|925|32|32|25|BARRIER
edge_of_map_tile_debug|1469|893|32|32|25|BARRIER
edge_of_map_tile_debug|1469|861|32|32|25|BARRIER
edge_of_map_tile_debug|1469|829|32|32|25|BARRIER
edge_of_map_tile_debug|1469|797|32|32|25|BARRIER
edge_of_map_tile_debug|1469|765|32|32|25|BARRIER
edge_of_map_tile_debug|1469|733|32|32|25|BARRIER
edge_of_map_tile_debug|1469|701|32|32|25|BARRIER
edge_of_map_tile_debug|1469|669|32|32|25|BARRIER
edge_of_map_tile_debug|1469|637|32|32|25|BARRIER
edge_of_map_tile_debug|1469|605|32|32|25|BARRIER
edge_of_map_tile_debug|1469|573|32|32|25|BARRIER
edge_of_map_tile_debug|1469|541|32|32|25|BARRIER
edge_of_map_tile_debug|1469|509|32|32|25|BARRIER
edge_of_map_tile_debug|1469|477|32|32|25|BARRIER
edge_of_map_tile_debug|1469|445|32|32|25|BARRIER
edge_of_map_tile_debug|1469|413|32|32|25|BARRIER
edge_of_map_tile_debug|1469|381|32|32|25|BARRIER
edge_of_map_tile_debug|1469|349|32|32|25|BARRIER
edge_of_map_tile_debug|1469|317|32|32|25|BARRIER
edge_of_map_tile_debug|1469|285|32|32|25|BARRIER
edge_of_map_tile_debug|1469|253|32|32|25|BARRIER
edge_of_map_tile_debug|1469|221|32|32|25|BARRIER
edge_of_map_tile_debug|1469|189|32|32|25|BARRIER
edge_of_map_tile_debug|1469|157|32|32|25|BARRIER
edge_of_map_tile_debug|1469|125|32|32|25|BARRIER
edge_of_map_tile_debug|1469|93|32|32|25|BARRIER
edge_of_map_tile_debug|1469|61|32|32|25|BARRIER
edge_of_map_tile_debug|1469|29|32|32|25|BARRIER
edge_of_map_tile_debug|1469|0|32|32|25|BARRIER
edge_of_map_tile_debug|32|0|32|32|25|BARRIER
edge_of_map_tile_debug|64|0|32|32|25|BARRIER
edge_of_map_tile_debug|96|0|32|32|25|BARRIER
edge_of_map_tile_debug|128|0|32|32|25|BARRIER
edge_of_map_tile_debug|160|0|32|32|25|BARRIER
edge_of_map_tile_debug|192|0|32|32|25|BARRIER
edge_of_map_tile_debug|224|0|32|32|25|BARRIER
edge_of_map_tile_debug|256|0|32|32|25|BARRIER
edge_of_map_tile_debug|288|0|32|32|25|BARRIER
edge_of_map_tile_debug|320|0|32|32|25|BARRIER
edge_of_map_tile_debug|352|0|32|32|25|BARRIER
edge_of_map_tile_debug|384|0|32|32|25|BARRIER
edge_of_map_tile_debug|416|0|32|32|25|BARRIER
edge_of_map_tile_debug|448|0|32|32|25|BARRIER
edge_of_map_tile_debug|480|0|32|32|25|BARRIER
edge_of_map_tile_debug|512|0|32|32|25|BARRIER
edge_of_map_tile_debug|544|0|32|32|25|BARRIER
edge_of_map_tile_debug|576|0|32|32|25|BARRIER
edge_of_map_tile_debug|608|0|32|32|25|BARRIER
edge_of_map_tile_debug|640|0|32|32|25|BARRIER
edge_of_map_tile_debug|672|0|32|32|25|BARRIER
edge_of_map_tile_debug|704|0|32|32|25|BARRIER
edge_of_map_tile_debug|736|0|32|32|25|BARRIER
edge_of_map_tile_debug|768|0|32|32|25|BARRIER
edge_of_map_tile_debug|800|0|32|32|25|BARRIER
edge_of_map_tile_debug|832|0|32|32|25|BARRIER
edge_of_map_tile_debug|864|0|32|32|25|BARRIER
edge_of_map_tile_debug|896|0|32|32|25|BARRIER
edge_of_map_tile_debug|928|0|32|32|25|BARRIER
edge_of_map_tile_debug|960|0|32|32|25|BARRIER
edge_of_map_tile_debug|992|0|32|32|25|BARRIER
edge_of_map_tile_debug|1024|0|32|32|25|BARRIER
edge_of_map_tile_debug|1056|0|32|32|25|BARRIER
edge_of_map_tile_debug|1088|0|32|32|25|BARRIER
edge_of_map_tile_debug|1120|0|32|32|25|BARRIER
edge_of_map_tile_debug|1152|0|32|32|25|BARRIER
edge_of_map_tile_debug|1184|0|32|32|25|BARRIER
edge_of_map_tile_debug|1216|0|32|32|25|BARRIER
edge_of_map_tile_debug|1248|0|32|32|25|BARRIER
edge_of_map_tile_debug|1280|0|32|32|25|BARRIER
edge_of_map_tile_debug|1312|0|32|32|25|BARRIER
edge_of_map_tile_debug|1344|0|32|32|25|BARRIER
edge_of_map_tile_debug|1376|0|32|32|25|BARRIER
edge_of_map_tile_debug|1408|0|32|32|25|BARRIER
edge_of_map_tile_debug|1437|0|32|32|25|BARRIER
